Sample	Region	State	Typo	Latitude	Longitude	Temp	Cond	Sal	OD	pH	Clorof	NO2	NO3	PO4	SO4	NH4	NID	Ptotal	NPratio	Trophic	Bacteria	HighDNA	LowDNA	%High	%Low
412	Amazonas	AM	River	S0745831 	W06414663 	26.7	42	0.02	5.35	6.4	5	0.15	575.37	0.00	0.083	0.95	576.46	22.20	NA	Oligotrophic	1475000.00	529820.00	748120.00	36	51
413	Amazonas	PA	River	S0754661 	W05455352 	25.4	34	0.01	7.28	7.08	6.1	0.15	81.52	0.00	0.050	0.00	81.67	22.20	NA	Oligotrophic	1504334.52	654686.38	598725.14	44	40
414	Amazonas	PA	River	S0744509 	W05110279 	26.87	74	0.03	7.56	7.57	12.3	0.12	129.74	1.16	0.093	0.00	129.86	24.27	111.93	Oligotrophic	2487352.45	975042.16	1062596.96	39	43
419	Amazonas	AM	River	S0756938 	W06010726 	28.07	42	0.02	6.29	7.48	7.9	0.06	63.45	0.00	0.052	0.00	63.51	19.96	NA	Oligotrophic	2013651.88	916614.33	738607.51	46	37
425	Amazonas	AM	River	S0805479 	W06103911 	28.5	36	0.02	5.99	7.27	8.5	0.06	20.35	1.74	0.049	0.00	20.41	20.76	11.73	Oligotrophic	1530082.99	799315.35	489626.56	52	32
429	Amazonas	PA	River	S0808024 	W05242647 	26.56	30	0.01	6.35	7.13	8	0.00	0.29	1.95	10.15	0.00	0.29	13.89	0.15	Oligotrophic	2431986.81	1305490.52	875515.25	54	36
430	Amazonas	PA	River	S0818437 	W05740365 	27.31	38	0.02	6.29	7.52	0.9	0.00	33.78	4.83	0.063	0.95	34.73	23.47	7.18	Oligotrophic	3734177.22	1734151.90	1493670.89	46	40
440	Amazonas	PA	River	S0735453 	W05241406 	27.64	29	0.01	6.37	7.56	6.5	0.12	5.64	1.95	11.94	0.00	5.76	14.05	2.96	Oligotrophic	1965733.22	821729.78	838261.62	42	43
454	Amazonas	PA	River	S0852501 	W05602203 	24.85	34	0.01	7	7.2	1.1	0.06	60.64	1.35	0.130	4.74	65.44	17.09	48.35	Oligotrophic	1785714.29	1025000.00	560714.29	57	31
461	Amazonas	RO	River	S0855438 	W06317822 	32.22	49	0.02	NA	8.07	10.2	0.00	24.76	0.77	0.060	6.64	31.40	19.32	40.60	Oligotrophic	7908847.18	3264772.12	3704504.02	41	47
462	Amazonas	RO	River	S0859389 	W06155254 	27.89	51	0.02	NA	7.66	12.7	0.00	37.03	1.74	0.064	5.69	42.72	22.52	24.55	Oligotrophic	5025553.66	1831311.75	2195161.84	36	44
466	Amazonas	MT	River	S0906777 	W05702450 	26.69	33	0.01	7	7.5	2.9	0.18	49.46	0.77	0.054	0.00	49.63	14.69	64.17	Oligotrophic	2716390.42	1194125.23	1115893.19	44	41
467	Amazonas	MT	River	S0905972 	W05836618 	26.47	25	0.01	6.08	7.75	7.2	0.00	1.38	1.35	0.036	0.95	2.33	17.09	1.72	Oligotrophic	1103628.88	556670.41	419378.97	50	38
482	Amazonas	MT	River	S0928335 	W05624317 	26.43	33	0.01	6.59	7.28	8.3	0.15	30.17	2.32	0.074	0.00	30.32	20.28	13.07	Oligotrophic	4602184.09	2669266.77	1840873.63	58	40
485	Amazonas	MT	River	S0936762 	W05815821 	27.03	35	0.01	NA	6.65	0	0.27	6.07	0.00	0.042	1.90	8.23	25.23	NA	Oligotrophic	3010204.08	1505102.04	1384693.88	50	46
506	Amazonas	MT	River	S1000256 	W05815151 	25.58	25	0.01	6.64	8.26	2.5	0.09	7.72	0.00	0.042	0.00	7.81	17.73	NA	Oligotrophic	973068.89	527797.49	424947.81	54	44
509	Amazonas	MT	River	S1005389 	W05923828 	25.78	33	0.01	5.87	7.33	3.2	0.32	141.23	0.00	0.051	3.79	145.35	21.88	NA	Oligotrophic	787011.85	339139.97	310662.57	43	39
522	Amazonas	MT	River	S1025087 	W05927164 	26.81	32	0.01	5.79	7.02	4	0.15	145.07	1.55	0.081	3.79	149.02	16.13	96.33	Oligotrophic	2258805.51	903522.21	1129402.76	40	50
524	Amazonas	MT	River	S1033589 	W05811506 	26.15	30	0.01	5.99	7.06	2	0.00	25.53	0.00	0.048	0.95	26.48	12.78	NA	Oligotrophic	1350114.42	785766.59	453638.44	58	34
525	Amazonas	MT	River	S1034465 	W05825122 	25.33	26	0.01	6.41	7.16	0	0.12	12.73	0.77	0.038	0.00	12.85	14.37	16.61	Oligotrophic	3041237.11	778556.70	1597257.73	26	53
554	Amazonas	RO	River	S1117112 	W06155135 	26.98	50	0.02	NA	7.57	11.2	0.09	195.03	0.97	0.077	6.64	201.76	19.00	208.69	Oligotrophic	2239939.26	904935.46	953318.15	40	43
2155	Amazonas	PA	River	S0815866 	W05740187 	27.67	36	0.02	6.69	7.46	5	0.44	30.97	0.00	0.067	0.00	31.41	26.19	NA	Oligotrophic	1325247.08	580988.32	524797.84	44	40
78	Amazonas	PA	River	S0116712 	W05515407 	28.24	58	0.03	6.19	7.14	3.3	0.00	73.04	1.16	0.099	0.00	73.04	24.27	62.96	Oligotrophic	978186.92	484130.84	404728.97	49	41
130	Amazonas	PA	River	S0202336 	W05216540 	30.44	72	0.03	6.12	6.05	5.4	0.00	27.67	3.09	0.075	12.33	39.99	21.24	12.93	Oligotrophic	800254.55	487733.33	278193.94	61	35
232	Amazonas	PA	River	S0400975 	W05316542 	29.66	79	0.04	6.46	7.94	9.8	0.00	21.95	4.06	0.063	9.48	31.43	25.39	7.74	Oligotrophic	346687.64	324045.30	10022.02	93	3
267	Amazonas	PA	River	S0300194 	W05650577 	30.31	45	0.02	6.83	5.22	10.1	0.00	14.92	0.00	0.082	0.00	14.92	6.87	NA	Oligotrophic	220152.61	187962.61	26112.17	85	12
539	Amazonas	MT	River	S1051511 	W05554272 	25.57	38	0.02	3.52	6.63	2.6	0.00	19.67	2.32	0.057	0.00	19.67	21.56	8.48	Oligotrophic	98148.84	78961.85	26935.58	80	27
549	Amazonas	MT	River	S1115439 	W05632921 	23.53	36	0.02	3.75	6.1	4.2	0.00	36.40	3.67	0.050	1.90	38.30	22.68	10.42	Oligotrophic	114325.26	86372.11	17588.50	76	15
612	Amazonas	MT	River	S1317572 	W05332397 	27.4	35	0.01	0.00	6.72	8.7	0.09	32.30	0.00	0.039	0.00	32.39	20.60	NA	Oligotrophic	107727.73	96287.62	8341.75	89	8
2188	Amazonas	MT	River	S1147161 	W05550580 	23.41	36	0.02	3.43	7.13	0.7	0.03	13.98	0.00	0.045	2.85	16.86	17.41	NA	Oligotrophic	55609.47	42704.31	9620.20	77	17
2189	Amazonas	AM	River	S0322412 	W05658594 	28.34	45	0.02	6.35	4.98	2.4	0.03	21.86	1.74	0.091	0.00	21.89	10.38	12.58	Oligotrophic	292905.87	234094.06	50739.60	80	17
2190	Amazonas	AM	River	S0254359 	W05642198 	29.66	45	0.02	6.05	5.35	2.8	0.00	21.01	0.00	0.089	1.90	22.91	15.17	NA	Oligotrophic	307793.29	259296.45	38150.85	84	12
2193	Amazonas	PA	River	S0141466 	W05455355 	30.21	71	0.03	8.07	6.75	12.4	0.00	3.03	0.00	0.236	0.00	3.03	26.03	NA	Oligotrophic	401933.33	378755.74	22046.98	94	5
2195	Amazonas	PA	River	S0008781 	W05718821 	26.13	69	0.03	7.06	6.18	4.3	0.00	56.20	0.00	0.065	2.85	59.05	18.04	NA	Oligotrophic	142573.64	118062.41	24102.71	83	17
84	Amazonas	AM	River	S0104020 	W06925518 	26.94	848	0.41	6.82	4.98	8.7	0.00	23.37	0.00	0.070	16.12	39.49	19.64	NA	Oligotrophic	1115594.54	472920.08	591610.14	42	53
104	Amazonas	AM	River	S0144234 	W06832055 	28.61	1013	0.5	7.35	6.71	10.4	0.00	120.61	0.00	0.155	0.95	121.56	21.56	NA	Oligotrophic	229527.06	122636.03	93595.26	53	41
120	Amazonas	AM	River	S0159527 	W05813350 	30.53	496	0.24	5.95	6.74	9.3	0.03	82.63	0.00	0.144	0.95	83.61	15.65	NA	Oligotrophic	493717.79	269879.75	194880.98	55	39
128	Amazonas	AM	River	S0204487 	W06831701 	28.1	1058	0.52	7.3	6.79	21.7	0.00	66.10	0.00	0.077	8.54	74.64	18.36	NA	Oligotrophic	311641.03	137364.10	159350.43	44	51
140	Amazonas	AM	River	S0215996 	W05846162 	31.42	615	0.29	5.45	6.97	14.8	1.03	97.96	0.77	0.070	205.81	304.80	20.76	394.09	Oligotrophic	2699748.79	1467304.35	1120714.98	54	42
141	Amazonas	AM	River	S0210292 	W06912170 	28.01	1516	0.76	6.98	5.54	8.1	0.00	60.87	0.00	0.079	6.64	67.50	17.09	NA	Oligotrophic	396463.67	187411.76	187820.07	47	47
143	Amazonas	AM	River	S0222067 	W05810622 	33.25	503	0.24	5.78	6.84	9.6	0.00	89.91	0.00	0.122	7.59	97.50	24.27	NA	Oligotrophic	254299.93	147262.62	94434.53	58	37
153	Amazonas	AM	River	S0248861 	W05911326 	30.97	1143	0.56	5.85	6.67	13.4	0.00	13.44	0.00	0.101	0.95	14.39	17.25	NA	Oligotrophic	254231.76	149399.14	89639.48	59	35
156	Amazonas	AM	River	S0234953 	W05756146 	32.87	585	0.28	5.96	7.25	17.9	0.00	14.10	5.80	0.079	2.85	16.94	18.36	2.92	Oligotrophic	756841.06	462622.52	258271.52	61	34
169	Amazonas	AM	River	S0252803 	W06658353 	30.53	784	0.38	6.79	6.63	12.5	0.00	103.08	1.74	0.102	0.00	103.08	17.25	59.24	Oligotrophic	211539.35	101239.92	97842.61	48	46
181	Amazonas	AM	River	S0306191 	W05953195 	30.88	583	0.28	5.81	6.54	9.5	0.00	46.81	8.76	48.69	10.07	56.88	17.08	6.49	Oligotrophic	136587.03	83461.79	39481.05	61	29
182	Amazonas	AM	River	S0308098 	W05848482 	30.81	1144	0.56	5.94	6.89	19.2	0.00	19.42	0.00	0.087	0.95	20.36	16.45	NA	Oligotrophic	694641.51	358007.55	301605.03	52	43
204	Amazonas	AM	River	S0330245 	W05853902 	30.84	311	0.15	6.36	7.52	14	0.12	103.21	6.81	2616.92	0.00	103.32	22.51	15.17	Oligotrophic	117872.04	65222.53	37090.40	55	31
207	Amazonas	AM	River	S0317104 	W06722618 	29.69	905	0.44	6.76	6.92	14.6	0.00	110.94	1.55	0.108	0.00	110.94	22.84	71.72	Oligotrophic	268000.00	127200.00	124266.67	47	46
248	Amazonas	AM	River	S0422391 	W06719281 	28.83	702	0.34	7.01	6.54	15.7	0.06	51.51	0.00	0.064	10.43	62.00	26.19	NA	Oligotrophic	3096685.08	1534651.93	1393834.25	50	45
269	Amazonas	AM	River	S0455360 	W06808951 	28.6	1101	0.54	6.98	6.89	2.9	0.06	82.43	0.77	0.071	9.48	91.97	18.04	118.91	Oligotrophic	1042828.38	641034.32	344549.20	61	33
476	Amazonas	AM	River	S0106722 	W06923895 	27.6	1429	0.71	6.93	5.17	10.5	0.00	64.62	1.16	0.082	3.79	68.41	12.93	58.97	Oligotrophic	326964.20	139403.34	169255.37	43	52
516	Amazonas	AM	River	S0801695 	W06557790 	28.5	1465	0.73	7.27	7.34	7.6	0.15	71.05	0.00	0.087	8.54	79.73	20.92	NA	Oligotrophic	118000.00	67664.34	49923.08	57	42
1009	Amazonas	AM	River	S0323233 	W05743939 	31.61	615	0.29	5.99	7.34	10.9	0.00	23.54	0.00	0.119	2.85	26.39	18.68	NA	Oligotrophic	536933.59	354000.00	164796.96	66	31
2221	Amazonas	AM	River	S0812603 	W06537121 	29.99	1116	0.55	6.84	6.82	11.1	0.03	60.95	0.00	0.107	5.69	66.67	22.68	NA	Oligotrophic	86961.24	58162.39	26163.66	67	30
2222	Amazonas	AM	River	S0845246 	W06552295 	29.81	707	0.34	6.95	8.1	14.7	0.21	91.82	0.77	0.141	0.95	92.97	25.07	120.21	Oligotrophic	4658098.36	2781704.92	1696491.80	60	36
1	Amazonas	RR	River	N0421779 	W06027424 	27.3	150	0.07	7.87	8.09	7.4	0.12	37.99	1.55	0.058	2.85	40.96	18.68	26.48	Oligotrophic	2048142.86	858777.78	967412.70	42	47
2	Amazonas	RR	River	N0401047 	W06031207 	30.63	195	0.09	7.35	7.76	9.5	0.00	10.65	0.00	0.072	1.90	12.55	22.20	NA	Oligotrophic	4482033.33	2328533.33	1860466.67	52	42
7	Amazonas	RR	River	N0328137 	W06017623 	30.22	215	0.1	7.59	7.78	29.6	0.00	23.82	0.00	0.050	0.00	23.82	15.65	NA	Oligotrophic	3306895.71	1610012.27	1482601.23	49	45
9	Amazonas	RR	River	N0329395 	W06047523 	30.9	218	0.1	7.71	7.98	12.5	0.03	3.20	1.35	0.068	0.00	3.23	24.11	2.39	Oligotrophic	3984029.63	1915970.37	1823318.52	48	46
11	Amazonas	RR	River	N0318859 	W06021138 	29.82	202	0.09	7.73	7.9	5.1	0.00	32.90	0.00	0.118	0.00	32.90	16.61	NA	Oligotrophic	2007306.27	1013667.90	855173.43	50	43
12	Amazonas	RR	River	N0303354 	W06029485 	30.2	200	0.09	7.2	8.13	15.6	0.00	0.64	1.35	0.086	0.00	0.64	25.55	0.47	Oligotrophic	6778602.41	3949445.78	2553349.40	58	38
28	Amazonas	RR	River	N0356638 	W06029402 	30.75	223	0.1	7.51	7.84	3	0.00	48.12	0.00	0.068	3.79	51.91	21.56	NA	Oligotrophic	1526314.18	829164.75	590452.11	54	39
29	Amazonas	RR	River	N0129041 	W06115237 	32.12	338	0.16	NA	7.52	11.9	0.12	44.96	0.00	0.095	6.64	51.72	22.20	NA	Oligotrophic	1303212.85	751598.39	484321.29	58	37
31	Amazonas	AM	River	S0107822 	W06458478 	28.33	129	0.06	7.73	4.89	14.2	0.00	59.87	0.77	0.125	14.23	74.10	18.52	95.80	Oligotrophic	3317720.93	1178627.91	2011488.37	36	61
32	Amazonas	AM	River	N0003585 	W06716162 	28.4	160	0.07	7.9	4.79	12.8	0.00	68.20	0.83	21.75	5.30	73.50	7.19	88.50	Oligotrophic	1267523.18	661112.58	551708.61	52	44
39	Amazonas	AM	River	S0114457 	W06417528 	28.5	141	0.07	7.38	5.27	13.4	0.00	135.66	1.16	0.070	24.66	160.32	24.27	138.18	Oligotrophic	2390782.61	1034295.65	1223095.65	43	51
41	Amazonas	AM	River	N0003359 	W06359374 	29.98	287	0.13	7.51	5.87	13.8	0.03	109.12	1.55	0.077	10.43	119.58	21.08	77.30	Oligotrophic	1198355.56	607044.44	473311.11	51	39
42	Amazonas	AM	River	N0010248 	W06310467 	29.08	522	0.25	7.4	6.55	9.7	0.00	58.33	1.35	0.053	12.33	70.66	18.68	52.21	Oligotrophic	1168128.77	893191.15	250245.47	76	21
46	Amazonas	AM	River	N0005702 	W06730976 	28.4	180	0.08	7.99	6.63	14.8	0.94	88.06	0.00	0.072	12.33	101.34	15.49	NA	Oligotrophic	1070833.01	476076.78	539946.26	44	50
47	Amazonas	AM	River	N0012418 	W06800883 	28.31	224	0.1	7.97	5.42	13.1	0.00	123.14	0.00	0.069	20.87	144.01	20.60	NA	Oligotrophic	667582.00	283268.51	350060.96	42	52
48	Amazonas	AM	River	N0005343 	W06502915 	29.18	267	0.13	7.82	6.2	9.3	0.47	115.26	1.74	0.070	1.90	117.63	20.60	67.59	Oligotrophic	651741.41	353761.62	235523.23	54	36
50	Amazonas	AM	River	N0023280 	W06243520 	30.08	366	0.17	7.14	7.15	17.3	0.24	42.17	2.13	0.067	6.64	49.05	26.19	23.06	Oligotrophic	2708040.40	1547111.11	1001212.12	57	37
52	Amazonas	AM	River	S0009346 	W06702169 	29.53	332	0.16	7.87	4.62	16.7	0.00	40.46	1.66	23.06	14.84	55.30	8.30	33.29	Oligotrophic	1567760.22	795455.04	725362.40	51	46
53	Amazonas	AM	River	S0005617 	W06408172 	27.92	249	0.12	7.07	4.28	16.5	0.00	34.04	2.32	0.042	18.02	52.06	8.62	22.44	Oligotrophic	2091624.55	1328245.49	724187.73	64	35
55	Amazonas	AM	River	S0018799 	W06258892 	29.73	432	0.2	7.29	4.92	9.3	0.00	25.05	0.00	0.046	29.40	54.45	13.41	NA	Oligotrophic	2139733.33	1042770.37	1048888.89	49	49
56	Amazonas	AM	River	S0049442 	W06729687 	28.17	230	0.11	7.57	4.56	20.9	0.03	4.62	1.74	0.042	6.64	11.29	14.37	6.49	Oligotrophic	2675759.26	1299092.59	1307833.33	49	49
57	Amazonas	AM	River	S0020647 	W06510060 	28.51	305	0.14	7.93	5.63	19.3	0.24	88.77	3.29	0.062	0.00	89.01	23.47	27.08	Oligotrophic	1064899.81	785625.71	234215.50	74	22
61	Amazonas	AM	River	S0030025 	W06109233 	30.79	596	0.29	NA	6.63	10.9	0.00	56.91	0.00	0.061	0.00	56.91	18.04	NA	Oligotrophic	1067205.88	568598.04	425725.49	53	40
62	Amazonas	AM	River	S0029641 	W06449505 	30.19	301	0.14	7.87	4.72	9.4	0.00	61.21	0.77	0.054	8.54	69.74	9.90	90.17	Oligotrophic	1803451.71	972672.90	782255.45	54	43
63	Amazonas	AM	River	S0024754 	W06737472 	28.9	276	0.13	7.65	4.45	24.4	0.47	5.48	0.00	0.041	7.59	13.53	11.66	NA	Oligotrophic	1825463.72	979735.02	792870.66	54	43
66	Amazonas	AM	River	S0038260 	W06252027 	30.29	529	0.25	6.91	5.42	15.8	0.00	41.66	0.00	0.051	9.48	51.15	19.48	NA	Oligotrophic	1687542.17	998024.10	630518.07	59	37
67	Amazonas	AM	River	S0040693 	W06518048 	30.07	254	0.12	7.49	4.84	16.8	0.00	5.67	1.16	0.127	0.95	6.62	12.30	5.71	Oligotrophic	2683530.52	1157840.38	1447023.47	43	54
69	Amazonas	AM	River	S0100210 	W06132644 	30.94	646	0.31	NA	6.13	18	0.09	18.02	0.00	0.053	0.95	19.06	19.96	NA	Oligotrophic	993297.78	584231.11	356622.22	59	36
74	Amazonas	AM	River	S0042587 	W06258951 	30.97	590	0.28	7.2	4.98	19.1	0.00	51.90	0.83	23.32	10.07	61.97	11.18	74.62	Oligotrophic	1785806.85	870479.75	837395.64	49	47
76	Amazonas	AM	River	S0103523 	W06557444 	28.64	139	0.06	7.73	5.14	18.6	0.00	26.78	0.97	0.060	16.12	42.91	14.21	44.38	Oligotrophic	1774018.58	743071.21	962996.90	42	54
77	Amazonas	AM	River	S0105818 	W06225609 	31.59	544	0.26	7.21	4.96	16.5	0.00	47.04	0.83	23.84	5.30	52.34	9.26	63.02	Oligotrophic	1556185.29	700926.43	803814.71	45	52
87	Amazonas	AM	River	S0118503 	W06151802 	31.55	368	0.17	7.22	6.39	7.2	0.06	111.36	3.09	0.083	4.74	116.16	25.23	37.55	Oligotrophic	1434880.00	770933.33	573322.67	54	40
109	Amazonas	AM	River	S0143498 	W06126315 	31.44	649	0.31	NA	5.16	16.6	0.00	39.03	0.00	24.89	5.30	44.33	13.73	NA	Oligotrophic	2003489.36	854453.90	1073716.31	43	54
113	Amazonas	AM	River	S0147881 	W06110725 	29.86	560	0.27	NA	6.63	13.4	0.00	59.19	0.00	0.060	10.43	69.62	22.36	NA	Oligotrophic	1029045.05	676108.11	300492.49	66	29
118	Amazonas	AM	River	S0149808 	W06138663 	31.68	412	0.19	7.36	6.06	17.4	0.06	49.32	5.03	0.414	4.74	54.12	25.07	10.76	Oligotrophic	1388291.50	662137.65	652583.00	48	47
125	Amazonas	AM	River	S0157769 	W06702434 	29.41	264	0.12	7.83	6.3	3.5	0.00	15.38	0.00	0.055	0.95	16.32	20.12	NA	Oligotrophic	3308116.28	1850953.49	1315837.21	56	40
126	Amazonas	AM	River	S0159171 	W05927588 	30.4	225	0.1	6.6	7.15	8.8	0.00	3.37	0.00	0.060	442.92	446.29	18.20	NA	Oligotrophic	3569316.77	1924645.96	1531801.24	54	43
135	Amazonas	AM	River	S0213186 	W06105543 	32.17	589	0.28	7.03	5.3	11.3	0.00	149.97	4.98	28.55	19.61	169.58	26.03	34.03	Oligotrophic	1736493.83	699259.26	970222.22	40	56
137	Amazonas	AM	River	S0210731 	W06221360 	29.39	349	0.16	7.35	7.1	12.2	0.00	23.74	2.71	0.056	6.64	30.38	23.95	11.22	Oligotrophic	2115862.07	970222.22	1040750.96	46	49
177	Amazonas	AM	River	S0254883 	W06035839 	36.21	956	0.46	6.75	5.93	24.2	0.00	45.90	0.83	27.24	0.53	46.43	20.92	55.90	Oligotrophic	990099.13	584151.60	353655.98	59	36
231	Amazonas	AM	River	S0411548 	W05913803 	29.98	222	0.1	7.92	7.23	17.5	0.00	43.63	0.00	0.096	18.02	61.65	20.76	NA	Oligotrophic	3599000.00	2223846.15	1237487.18	62	34
268	Amazonas	AM	River	S0535078 	W05933327 	28.09	192	0.09	8.04	6.01	17.3	0.00	144.42	0.00	0.092	27.50	171.93	24.91	NA	Oligotrophic	917292.18	560378.60	308839.51	61	34
273	Amazonas	AM	River	S0502730 	W05953231 	29.54	343	0.16	NA	7.63	17.8	0.00	30.51	0.00	0.099	3.79	34.30	17.57	NA	Oligotrophic	1140746.45	645290.06	441363.08	57	39
291	Amazonas	AM	River	S0520493 	W06024385 	32.13	417	0.2	NA	6.98	9.8	0.00	5.36	0.00	0.090	4.74	10.10	20.28	NA	Oligotrophic	2030281.59	1187667.87	754859.21	58	37
312	Amazonas	AM	River	S0546412 	W06015139 	30.04	296	0.14	NA	7.82	15.4	0.00	5.45	0.00	0.091	0.95	6.40	20.12	NA	Oligotrophic	2267488.00	1242304.00	944000.00	55	42
336	Amazonas	AM	River	S0632079 	W05945033 	27.66	159	0.07	8.09	6.23	23.5	0.03	212.10	0.00	0.106	12.33	224.46	25.87	NA	Oligotrophic	754708.33	449875.00	253208.33	60	34
340	Amazonas	AM	River	S0626006 	W06023469 	30.01	286	0.13	NA	7.78	15.7	0.44	4.51	1.93	0.095	0.95	5.90	18.52	3.05	Oligotrophic	1798095.24	981460.32	746958.73	55	42
365	Amazonas	AM	River	S0748863 	W05821507 	29.59	210	0.1	7.83	6.85	5	0.00	91.65	0.97	0.055	44.58	136.22	20.92	140.90	Oligotrophic	572300.00	337480.00	200600.00	59	35
1010	Amazonas	AM	River	S0118367 	W06210830 	32.08	553	0.26	6.91	4.89	21.8	0.12	39.53	2.32	0.054	12.33	51.98	21.72	22.40	Oligotrophic	1810525.25	923737.37	828383.84	51	46
2231	Amazonas	AM	River	S0551551 	W06120560 	31.42	548	0.26	NA	7.81	20.4	0.09	12.22	2.13	0.147	14.23	26.53	25.23	12.47	Oligotrophic	462719.10	210146.07	220089.89	45	48
2232	Amazonas	AM	River	S0539866 	W06104461 	31.52	1005	0.49	NA	6.97	5.4	0.00	2.57	0.00	0.099	2.85	5.42	17.89	NA	Oligotrophic	150611.48	86018.69	54510.01	57	36
2234	Amazonas	AM	River	S0248488 	W06028337 	31.17	650	0.31	NA	8.03	10.7	0.00	7.35	0.77	0.100	2.85	10.20	15.49	13.19	Oligotrophic	526006.27	238959.25	251905.96	45	48
2235	Amazonas	AM	River	S0224167 	W06046108 	31.59	747	0.36	NA	6.65	15.6	0.00	1.21	0.00	0.051	3.79	5.00	15.97	NA	Oligotrophic	1385670.68	649236.95	685253.01	47	49
2237	Amazonas	AM	River	S0302150 	W06006573 	32.46	578	0.28	7.01	6.17	16.8	0.00	52.87	0.00	0.068	15.17	68.05	20.28	NA	Oligotrophic	940874.17	579059.60	314927.15	62	33
2241	Amazonas	AM	River	S0008074 	W05915468 	30.72	253	0.12	7.46	7.17	8.8	0.00	34.12	0.00	0.070	0.00	34.12	25.71	NA	Oligotrophic	1961614.68	923431.19	889871.56	47	45
2242	Amazonas	RR	River	N0322945 	W06018495 	28.91	202	0.09	7.94	7.79	62.5	0.00	28.86	0.00	0.201	0.00	28.86	21.40	NA	Oligotrophic	2253162.16	972702.70	1146513.51	43	51
2245	Amazonas	AM	River	S0021692 	W06620840 	29.35	278	0.13	7.89	5.83	17.1	0.00	41.04	0.00	21.49	5.30	46.33	18.04	NA	Oligotrophic	1506198.95	903842.93	554785.34	60	37
2246	Amazonas	AM	River	S0032338 	W06514302 	29.32	267	0.12	7.72	4.5	15.8	0.27	11.19	0.00	0.054	21.81	33.27	14.53	NA	Oligotrophic	1913006.62	754887.42	1087006.62	39	57
2247	Amazonas	AM	River	N0017332 	W06619272 	28.97	285	0.13	7.83	6.41	17.4	0.00	108.94	0.00	0.036	21.81	130.76	25.87	NA	Oligotrophic	1580088.64	1181307.48	353673.13	75	22
2248	Amazonas	AM	River	S0137175 	W06327032 	28.7	146	0.07	7.49	5.54	9.5	0.00	33.36	1.16	0.060	4.74	38.10	25.39	32.84	Oligotrophic	998863.47	460678.97	465904.06	46	47
2250	Amazonas	AM	River	S0421090 	W05917882 	30.05	249	0.12	7.47	5.32	13.8	0.00	33.55	0.77	0.063	19.92	53.47	15.33	69.13	Oligotrophic	2085098.90	956102.56	1068483.52	46	51
2156	Amazonas	MT	River	S0723641 	W05810172 	27.73	28	0.01	6.63	7.05	0	0.03	6.04	0.97	0.043	0.95	7.02	23.00	7.26	Oligotrophic	1628934.29	823589.18	638542.24	51	39
159	Amazonas	PA	River	S0246652 	W05501804 	30.43	49	0.02	6.79	6.87	4	0.00	13.39	1.95	50.93	0.00	13.39	15.97	6.88	Oligotrophic	501005.45	245164.14	189588.13	49	38
54	Amazonas	AP	River	S0007716 	W05256599 	28.11	59	0.03	6.55	7.21	3	0.03	125.33	0.77	0.100	0.00	125.36	18.52	162.08	Oligotrophic	594503.82	288244.27	248353.33	48	42
59	Amazonas	PA	River	S0023586 	W05340540 	27.76	60	0.03	6.21	7.18	2.7	0.00	94.38	0.00	0.088	0.00	94.38	14.37	NA	Oligotrophic	714587.38	332233.01	307888.35	46	43
68	Amazonas	PA	River	S0027760 	W05805256 	28.2	70	0.03	6.85	6.83	6.2	0.00	88.09	0.77	0.073	1.90	89.99	26.03	116.35	Oligotrophic	310561.17	205274.97	88731.76	66	29
70	Amazonas	PA	River	S0022604 	W05602788 	29.04	69	0.03	6.15	7.03	10.8	0.12	66.16	0.00	0.099	0.00	66.27	12.14	NA	Oligotrophic	598048.27	293452.26	255068.21	49	43
71	Amazonas	PA	River	S0057502 	W05314641 	28.2	60	0.03	6.62	7.4	10.6	0.00	104.34	2.32	0.094	0.00	104.34	17.25	44.97	Oligotrophic	646544.05	333552.76	270726.04	52	42
73	Amazonas	AP	River	S0055933 	W05225571 	29.93	81	0.04	6.16	6.99	4.9	0.00	129.43	0.00	0.127	0.00	129.43	21.88	NA	Oligotrophic	429167.86	237862.27	166757.53	55	39
79	Amazonas	PA	River	S0106698 	W05716052 	28.88	71	0.03	6.32	6.59	5.2	0.15	85.82	1.16	0.073	0.95	86.91	17.73	74.91	Oligotrophic	432445.87	254546.91	151403.37	59	35
80	Amazonas	PA	River	S0108587 	W05603429 	30.5	70	0.03	6.58	7.75	2.8	0.00	70.85	1.35	0.101	0.00	70.85	12.14	52.35	Oligotrophic	506273.86	266356.85	192912.86	53	38
81	Amazonas	PA	River	N0001677 	W05300326 	27.97	67	0.03	5.95	7.22	3.8	0.00	133.44	1.16	0.100	0.00	133.44	16.61	115.02	Oligotrophic	854770.32	416961.13	376654.89	49	44
82	Amazonas	PA	River	S0111674 	W05206769 	29.67	82	0.04	6.05	6.83	8.6	0.00	122.88	2.90	0.131	0.00	122.88	15.97	42.37	Oligotrophic	363017.13	221541.50	122042.16	61	34
86	Amazonas	PA	River	S0119554 	W05253820 	29.66	79	0.04	6.28	7.23	16.1	0.09	82.63	8.12	0.092	0.00	82.72	15.17	10.19	Oligotrophic	284551.19	188937.41	84163.03	66	30
88	Amazonas	PA	River	S0127015 	W05624147 	32.12	70	0.03	6.42	6.4	9.9	0.00	50.19	0.83	91.85	5.30	55.48	13.89	66.81	Oligotrophic	1311111.11	634315.56	505826.67	48	39
